"Indian Ocean Dipole (IOD) Index"
""
""
"Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec"
"1950 0.08 -0.44 -0.22 -0.06 -0.03 -0.16 -0.08 -0.16 -0.54 -0.53 -0.27 0.01"
"1951 0.06 0.4 0.26 -0.09 0.16 -0.12 -0.17 -0.19 -0.03 -0.32 0.21 0.2"
"1952 0.12 0.22 0.13 0.54 0.29 -0.17 -0.35 -0.46 -0.54 -0.62 0.03 0.15"
"1953 0.48 0.5 0.31 -0.14 0.49 0.01 -0.18 0.02 0.05 -0.17 0.09 0.08"
"1954 -0.23 0.11 0.28 0.32 0.09 -0.17 -0.53 -0.58 -0.79 -0.89 -0.17 -0.31"
"1955 -0.4 -0.42 0.01 0.05 -0.55 -0.52 -0.29 -0.08 -0.58 -0.76 0.1 0.05"
"1956 0.33 0.38 -0.15 -0.3 -0.53 -0.63 -0.63 -0.25 -0.88 -0.92 -0.69 -0.23"
"1957 -0.66 -0.14 -0.01 -0.02 0.11 -0.33 -0.23 -0.12 -0.07 -0.23 -0.55 -0.42"
"1958 -0.46 -0.26 0     -0.18 -0.57 -0.98 -0.85 -0.62 -1   -0.96 -0.53 0.06"
"1959 0.49 0.12 -0.24 -0.25 -0.63 -0.7 -0.6 -0.47 -0.49 -0.67 -0.33 -0.18"
"1960 -0.2 0.08 -0.15 -0.6 -0.97 -0.72 -0.57 -0.72 -0.92 -1.11 -1.08 -0.67"
"1961 -0.18 0.16 0.19 -0.2 -0.32 0.18 0.81 1.08 1.37 0.98 0.73 0.61"
"1962 0.87 0.72 0.26 0.18 -0.12 -0.28 -0.34 -0.09 -0.08 -0.15 0.08 0.2"
"1963 0.18 0.57 0.36 0        -0.69 -0.25 0.22 0.81 0.71 0.69 0.55 0.22"
"1964 -0.14 -0.37 0.05 0.46 -0.27 -0.2 -0.34 -0.46 -0.87 -0.57 0.39 0.11"
"1965 0.09 -0.17 0.21 0.2 -0.11 -0.26 -0.17 0.11 -0.08 0.28 0.16 -0.19"
"1966 0.09 0.08 0       0     -0.34 0.05 0.06 0.47 0.04 -0.27 -0.37 -0.01"
"1967 -0.08 -0.12 0.48 0.31 0.13 0.49 0.68 0.64 0.69 0.56 0.49 0.19"
"1968 0.13 0.52 -0.01 0.16 0.1 -0.01 -0.01 -0.13 -0.63 -0.28 -0.03 0.04"
"1969 0.12 0.04 0.06 -0.18 -0.17 -0.5 -0.37 -0.32 -0.23 0.32 0.05 0.04"
"1970 0.43 0.27 0.23 0.26 0.35 -0.37 -0.25 0.08 -0.35 -0.63 -0.34 -0.14"
"1971 0.19 0.19 0.53 0.7 0.23 0.02 -0.15 -0.51 -0.42 -0.75 0        0.27"
"1972 0.52 -0.08 0.1 0.11 0.36 0.89 0.66 0.56 0.79 0.83 0.91 0.61"
"1973 0.57 -0.01 0.22 0.17 0.15 -0.14 -0.08 -0.47 -0.46 -0.3 -0.11 -0.04"
"1974 0.34 0.47 0.57 0.27 0.03 0.32 -0.1 -0.2 -0.61 -0.34 -0.42 -0.17"
"1975 -0.5 0.11 -0.19 0.35 0.08 0.34 0.37 -0.43 -1.04 -1.19 -0.58 -0.03"
"1976 -0.06 0.13 0.1 -0.02 -0.01 0.47 0.86 0.31 -0.13 -0.37 -0.25 0.26"
"1977 0.2 0.08 0.17 0.02 -0.31 -0.01 0.05 0.11 -0.04 0.61 0.24 0.37"
"1978 -0.62 -0.34 -0.17 -0.04 -0.13 0.24 0.12 -0.05 0.21 0.16 -0.23 -0.24"
"1979 0.25 -0.11 -0.21 0.12 0.12 0.46 0.08 -0.24 -0.46 -0.42 -0.6 -0.23"
"1980 0.11 0.25 -0.16 0.35 0.36 -0.42 -0.24 0.13 -0.53 -0.49 -0.27 0.09"
"1981 0.13 0.32 -0.11 0.53 0.12 -0.18 -0.42 -0.54 -0.69 -0.57 -0.35 -0.24"
"1982 0.08 0.31 0.39 0.43 0.46 0.33 0.42 0.43 0.18 0.87 0.29 -0.18"
"1983 -0.23 -0.48 -0.9 -0.82 -0.2 0.31 0.8 0.41 0.24 -0.09 0.08 -0.1"
"1984 -0.02 0.02 0.02 0.5 -0.4 -0.33 -0.42 -0.25 -0.34 -0.33 -0.42 -0.19"
"1985 0.06 -0.02 -0.07 -0.14 0.03 -0.44 0.11 -0.02 0.01 -0.25 0.5 0.23"
"1986 0.13 0.22 0.53 0.31 0.17 0.12 -0.2 0.26 0.55 0.04 0.65 -0.02"
"1987 0.03 -0.21 -0.26 -0.5 0.03 -0.01 -0.24 0.2 0.26 0.24 0         -0.01"
"1988 0.26 -0.11 0.05 0.21 -0.63 -0.14 0     -0.09 -0.53 -0.64 -0.41 0.01"
"1989 -0.43 0.22 -0.13 -0.07 -0.39 -0.64 0.01 -0.63 -0.5 -0.8 -0.38 -0.32"
"1990 0.44 -0.09 0.01 -0.22 -0.63 -0.46 0.05 -0.36 -0.5 -1.14 -0.69 -0.35"
"1991 0.07 0.09 -0.06 0.76 0.9 0.49 0.32 -0.09 0.26 0.18 0.28 0.3"
"1992 -0.43 -0.69 -0.61 -0.29 -0.38 -0.85 -0.56 -1.02 -0.72 -0.61 -0.15 -0.29"
"1993 -0.02 -0.07 -0.4 -0.18 0.22 0.19 0.47 -0.15 -0.38 -0.31 -0.22 -0.19"
"1994 0.2 -0.05 -0.23 0.28 0.74 0.43 0.72 1.13 0.97 1.43 0.19 0.03"
"1995 -0.01 0.53 0.3 0.31 -0.02 -0.07 -0.57 -0.59 -0.29 -0.44 -0.71 0.02"
"1996 0.36 0.2 -0.24 -0.88 -0.46 -0.75 -0.56 -0.96 -0.82 -1.09 -0.75 -0.3"
"1997 -0.01 0.32 0.1 0.08 -0.04 0.14 0.54 0.35 0.74 0.99 1.55 1.07"
"1998 0.77 0.13 -0.16 0.07 -0.02 -0.19 -0.84 -0.75 -0.58 -0.77 -0.87 -0.43"
"1999 -0.46 -0.13 0.12 -0.16 -0.27 -0.03 0.23 0.21 0.1 -0.51 -0.18 -0.02"
"2000 -0.01 0.52 0.76 0.18 0.33 0.03 0.13 -0.1 -0.02 -0.21 0         0.14"
