Year,Month,Nino 3.4 SST Anomaly,SOI,ONI,RONI,IOD_Index,RMM1,RMM2,amplitude,phase
1974,JUN,-1.2,0.7,-0.77,-0.67,0.32,0.0004936818320000019,0.17866784133333333,1.0546148806666666,1
1974,JUL,-0.9,1.9,-0.53,-0.41,-0.1,0.3881751946496774,-0.02209311768064516,0.8500422877419355,3
1974,AUG,-0.52,1.3,-0.37,-0.03,-0.2,0.4042214334516129,0.5328013975806452,1.074155283267742,5
1974,SEP,-0.64,1.8,-0.41,-0.13,-0.61,-0.6338473931599999,-0.6121870056666666,0.9738112963333333,1
1974,OCT,-0.94,1.5,-0.61,-0.39,-0.34,0.8368710823709677,0.07381848387419356,0.9921956770967741,5
1974,NOV,-1.09,-0.2,-0.75,-0.57,-0.42,0.09046204733333334,0.649324272,0.8571291733333334,6
1974,DEC,-0.97,0.3,-0.64,-0.39,-0.17,-0.5682313105516129,0.03376031198064515,0.8659016363774193,7
1975,JAN,-0.45,-0.8,-0.54,0.22,-0.5,-0.5288187822580644,0.3239698832483871,1.6703991880645161,8
1975,FEB,-0.68,1.3,-0.57,-0.07,0.11,-0.4779074932142858,-0.44348097862142855,1.5161655678571428,1
1975,MAR,-1.09,2.6,-0.65,-0.53,-0.19,0.49771662656451615,-0.6861589338709677,1.5107749632258065,3
1975,APR,-0.96,1.9,-0.73,-0.35,0.35,0.15014746362333337,-0.3720749929766667,1.7407238386666668,2
1975,MAY,-1.13,1.1,-0.83,-0.54,0.08,-0.3125963323935484,-0.48554195030645164,0.6574914222580646,2
1975,JUN,-1.5,2.1,-0.98,-0.94,0.34,0.49352374589,0.26798356274900004,1.3867211276666667,4
1975,JUL,-1.39,3.1,-1.13,-0.85,0.37,-0.7236235796774193,-0.5981554906506451,1.6907545193548388,2
1975,AUG,-1.52,3.3,-1.2,-0.94,-0.43,0.5565815132387096,-0.03691342577419355,1.091334322903226,5
1975,SEP,-1.66,3.4,-1.37,-1.04,-1.04,-0.07351198229333332,-0.45993904189,0.7913458553333333,1
1975,OCT,-1.83,2.8,-1.43,-1.18,-1.19,0.428905163822258,0.3755629545709678,0.7768538551129033,5
1975,NOV,-1.66,1.9,-1.55,-0.87,-0.58,-0.7043443326666666,0.17999455589666666,0.9253528316666666,8
1975,DEC,-1.93,3.5,-1.65,-1.18,-0.03,-0.08255879739677419,-0.0435053393535484,1.0417191258064515,8
1976,JAN,-2.01,2.3,-1.56,-1.31,-0.06,-0.45590864322774194,1.2588659399516129,1.834366834516129,6
1976,FEB,-1.26,2.8,-1.17,-0.58,0.13,-0.37732446647586204,0.4918408422013793,1.0801324720689656,8
1976,MAR,-0.82,2.9,-0.73,-0.06,0.1,0.45824853557516126,0.40920121706129037,0.7079384773548386,5
1976,APR,-0.93,0.5,-0.47,-0.27,-0.02,0.17519422958,-0.013633799090000003,0.694163626,5
1976,MAY,-0.74,0.6,-0.28,0.0,-0.01,0.24485891684193548,0.16620370999999998,1.2929743906451614,7
1976,JUN,-0.38,0.4,-0.05,0.26,0.47,-0.3987452877623333,-0.46559799465333335,0.7404229729633334,2
1976,JUL,-0.16,-1.4,0.18,0.44,0.86,0.12481567125483871,-0.31448977556677415,0.5318703241935484,4
1976,AUG,0.12,-1.3,0.35,0.68,0.31,0.2947326748451613,-0.4509432335964516,1.2991906812903224,3
1976,SEP,0.3,-1.9,0.62,0.88,-0.13,-0.07879077233333334,1.057140177,1.7311873133333333,6
1976,OCT,0.75,0.7,0.81,1.25,-0.37,0.3099178832806452,-0.3766377387096774,1.3352454777419356,5
1976,NOV,0.71,1.2,0.86,1.16,-0.25,0.6600770878036666,-0.6554070771866667,1.3536582700533333,5
1976,DEC,0.49,-0.6,0.85,0.99,0.26,-0.30428168722258064,0.3297242858096774,1.4740346477419355,1
1977,JAN,0.78,-0.7,0.71,1.24,0.2,-0.09708973792258066,0.07593922328064516,0.8400428006451612,2
1977,FEB,0.37,2.0,0.64,0.8,0.08,0.413073917925,-0.7617250623928572,1.0397052060714285,3
1977,MAR,0.19,-0.9,0.34,0.74,0.17,-0.5085175106451614,0.8851696764967741,1.674077729032258,7
1977,APR,-0.38,-0.7,0.23,0.02,0.02,-0.155767452,-0.17096421897666667,2.0095004926666666,1
1977,MAY,-0.21,-0.8,0.21,0.17,-0.31,-0.27722822552903226,0.19287613193612904,1.3203353893548386,8
1977,JUN,0.01,-1.5,0.34,0.37,-0.01,-0.16441884035,-0.38613047401733336,1.1449766080000001,5
1977,JUL,0.09,-1.9,0.35,0.51,0.05,0.8632978048387097,-0.1963741842216129,1.0709987806451613,5
1977,AUG,-0.01,-1.3,0.42,0.38,0.11,0.04423282386870968,-0.20481010779280645,0.8956241280645161,1
1977,SEP,0.4,-1.3,0.57,0.84,-0.04,-0.25961693808833336,0.6653459636666667,1.79931732,6
1977,OCT,0.63,-1.7,0.73,1.11,0.61,-0.5663279531548387,-0.10963724475387097,0.6892718716129032,8
1977,NOV,0.48,-2.1,0.81,0.95,0.24,-0.131105659,-0.3093376839866666,1.3839367443333332,8
1977,DEC,0.7,-1.7,0.79,1.21,0.37,-0.5766723583419354,0.40200938841612904,0.8505023864516129,7
1978,JAN,0.62,-0.5,0.69,0.98,-0.62,0.8418588545096775,-0.5142628555129032,1.6989839889612903,4
1978,FEB,0.25,-4.4,0.42,0.63,-0.34,-0.9119173936214285,1.1746814028571428,1.7901202278571429,8
1978,MAR,-0.2,-0.3,0.06,0.17,-0.17,4.838709493548388e+35,4.838709493548388e+35,4.838709493548388e+35,999
1978,APR,-0.7,-0.5,-0.18,-0.4,-0.04,9.99999962e+35,9.99999962e+35,9.99999962e+35,999
1978,MAY,-0.74,2.2,-0.31,-0.32,-0.13,9.99999962e+35,9.99999962e+35,9.99999962e+35,999
1978,JUN,-0.71,1.1,-0.29,-0.37,0.24,9.99999962e+35,9.99999962e+35,9.99999962e+35,999
1978,JUL,-0.55,0.9,-0.36,-0.2,0.12,9.99999962e+35,9.99999962e+35,9.99999962e+35,999
1978,AUG,-0.79,0.7,-0.42,-0.39,-0.05,9.99999962e+35,9.99999962e+35,9.99999962e+35,999
1978,SEP,-0.71,0.1,-0.42,-0.25,0.21,9.99999962e+35,9.99999962e+35,9.99999962e+35,999
1978,OCT,-0.46,-0.6,-0.29,0.05,0.16,9.99999962e+35,9.99999962e+35,9.99999962e+35,999
1978,NOV,-0.38,0.0,-0.08,0.06,-0.23,9.99999962e+35,9.99999962e+35,9.99999962e+35,999
1978,DEC,-0.06,-0.1,0.0,0.35,-0.24,9.99999962e+35,9.99999962e+35,9.99999962e+35,999
1979,JAN,-0.13,-0.7,0.03,0.11,0.25,-0.7500286344967743,1.1060293606290321,1.7195324841935484,7
1979,FEB,-0.22,1.6,0.07,0.05,-0.11,0.4582118528321429,-0.7453763721321429,1.063415074642857,3
