subdivision,year,month,monthly_rainfall_mm,monthly_normal_mm,anomaly_mm,pct_of_normal
ANDAMAN & NICOBAR ISLANDS,1901,JAN,49.2,52.63727272727273,-3.4372727272727275,93.46988825754305
ANDAMAN & NICOBAR ISLANDS,1902,JAN,0.0,52.63727272727273,-52.63727272727273,0.0
ANDAMAN & NICOBAR ISLANDS,1903,JAN,12.7,52.63727272727273,-39.93727272727273,24.12738985509749
ANDAMAN & NICOBAR ISLANDS,1904,JAN,9.4,52.63727272727273,-43.23727272727273,17.858068081725705
ANDAMAN & NICOBAR ISLANDS,1905,JAN,1.3,52.63727272727273,-51.33727272727273,2.4697328198131294
ANDAMAN & NICOBAR ISLANDS,1906,JAN,36.6,52.63727272727273,-16.03727272727273,69.53247785012348
ANDAMAN & NICOBAR ISLANDS,1907,JAN,110.7,52.63727272727273,58.06272727272727,210.30724857947183
ANDAMAN & NICOBAR ISLANDS,1908,JAN,20.9,52.63727272727273,-31.73727272727273,39.705704564688
ANDAMAN & NICOBAR ISLANDS,1910,JAN,26.6,52.63727272727273,-26.03727272727273,50.53453308233018
ANDAMAN & NICOBAR ISLANDS,1911,JAN,0.0,52.63727272727273,-52.63727272727273,0.0
ANDAMAN & NICOBAR ISLANDS,1912,JAN,583.7,52.63727272727273,531.0627272727273,1108.910036096095
ANDAMAN & NICOBAR ISLANDS,1913,JAN,84.8,52.63727272727273,32.16272727272727,161.10257163088718
ANDAMAN & NICOBAR ISLANDS,1914,JAN,0.0,52.63727272727273,-52.63727272727273,0.0
ANDAMAN & NICOBAR ISLANDS,1915,JAN,45.0,52.63727272727273,-7.63727272727273,85.49075145506986
ANDAMAN & NICOBAR ISLANDS,1916,JAN,0.0,52.63727272727273,-52.63727272727273,0.0
ANDAMAN & NICOBAR ISLANDS,1917,JAN,8.0,52.63727272727273,-44.63727272727273,15.19835581423464
ANDAMAN & NICOBAR ISLANDS,1918,JAN,77.4,52.63727272727273,24.762727272727275,147.04409250272016
ANDAMAN & NICOBAR ISLANDS,1919,JAN,10.2,52.63727272727273,-42.43727272727273,19.377903663149166
ANDAMAN & NICOBAR ISLANDS,1920,JAN,122.3,52.63727272727273,69.66272727272727,232.34486451011205
ANDAMAN & NICOBAR ISLANDS,1921,JAN,13.2,52.63727272727273,-39.43727272727273,25.077287093487154
ANDAMAN & NICOBAR ISLANDS,1922,JAN,245.3,52.63727272727273,192.6627272727273,466.01958515396973
ANDAMAN & NICOBAR ISLANDS,1923,JAN,79.5,52.63727272727273,26.86272727272727,151.03366090395673
ANDAMAN & NICOBAR ISLANDS,1924,JAN,28.7,52.63727272727273,-23.93727272727273,54.52410148356678
ANDAMAN & NICOBAR ISLANDS,1925,JAN,36.6,52.63727272727273,-16.03727272727273,69.53247785012348
ANDAMAN & NICOBAR ISLANDS,1926,JAN,122.1,52.63727272727273,69.46272727272726,231.9649056147562
